"","Survived","Pclass","Sex","Age","Embarked"
"1",0,3,1,22,"S"
"2",1,1,0,38,"C"
"3",1,3,0,26,"S"
"4",1,1,0,35,"S"
"5",0,3,1,35,"S"
"6",0,3,1,26,"Q"
"7",0,1,1,54,"S"
"8",0,3,1,2,"S"
"9",1,3,0,27,"S"
"10",1,2,0,14,"C"
"11",1,3,0,4,"S"
"12",1,1,0,58,"S"
"13",0,3,1,20,"S"
"14",0,3,1,39,"S"
"15",0,3,0,14,"S"
"16",1,2,0,55,"S"
"17",0,3,1,2,"Q"
"18",1,2,1,26,"S"
"19",0,3,0,31,"S"
"20",1,3,0,26,"C"
"21",0,2,1,35,"S"
"22",1,2,1,34,"S"
"23",1,3,0,15,"Q"
"24",1,1,1,28,"S"
"25",0,3,0,8,"S"
"26",1,3,0,38,"S"
"27",0,3,1,26,"C"
"28",0,1,1,19,"S"
"29",1,3,0,15,"Q"
"30",0,3,1,26,"S"
"31",0,1,1,40,"C"
"32",1,1,0,26,"C"
"33",1,3,0,15,"Q"
"34",0,2,1,66,"S"
"35",0,1,1,28,"C"
"36",0,1,1,42,"S"
"37",1,3,1,26,"C"
"38",0,3,1,21,"S"
"39",0,3,0,18,"S"
"40",1,3,0,14,"C"
"41",0,3,0,40,"S"
"42",0,2,0,27,"S"
"43",0,3,1,26,"C"
"44",1,2,0,3,"C"
"45",1,3,0,19,"Q"
"46",0,3,1,26,"S"
"47",0,3,1,26,"Q"
"48",1,3,0,15,"Q"
"49",0,3,1,26,"C"
"50",0,3,0,18,"S"
"51",0,3,1,7,"S"
"52",0,3,1,21,"S"
"53",1,1,0,49,"C"
"54",1,2,0,29,"S"
"55",0,1,1,65,"C"
"56",1,1,1,26,"S"
"57",1,2,0,21,"S"
"58",0,3,1,28,"C"
"59",1,2,0,5,"S"
"60",0,3,1,11,"S"
"61",0,3,1,22,"C"
"62",1,1,0,38,"X"
"63",0,1,1,45,"S"
"64",0,3,1,4,"S"
"65",0,1,1,26,"C"
"66",1,3,1,15,"C"
"67",1,2,0,29,"S"
"68",0,3,1,19,"S"
"69",1,3,0,17,"S"
"70",0,3,1,26,"S"
"71",0,2,1,32,"S"
"72",0,3,0,16,"S"
"73",0,2,1,21,"S"
"74",0,3,1,26,"C"
"75",1,3,1,32,"S"
"76",0,3,1,25,"S"
"77",0,3,1,26,"S"
"78",0,3,1,26,"S"
"79",1,2,1,15,"S"
"80",1,3,0,30,"S"
"81",0,3,1,22,"S"
"82",1,3,1,29,"S"
"83",1,3,0,15,"Q"
"84",0,1,1,28,"S"
"85",1,2,0,17,"S"
"86",1,3,0,33,"S"
"87",0,3,1,16,"S"
"88",0,3,1,26,"S"
"89",1,1,0,23,"S"
"90",0,3,1,24,"S"
"91",0,3,1,29,"S"
"92",0,3,1,20,"S"
"93",0,1,1,46,"S"
"94",0,3,1,26,"S"
"95",0,3,1,59,"S"
"96",0,3,1,26,"S"
"97",0,1,1,71,"C"
"98",1,1,1,23,"C"
"99",1,2,0,34,"S"
"100",0,2,1,34,"S"
"101",0,3,0,28,"S"
"102",0,3,1,26,"S"
"103",0,1,1,21,"S"
"104",0,3,1,33,"S"
"105",0,3,1,37,"S"
"106",0,3,1,28,"S"
"107",1,3,0,21,"S"
"108",1,3,1,26,"S"
"109",0,3,1,38,"S"
"110",1,3,0,15,"Q"
"111",0,1,1,47,"S"
"112",0,3,0,14,"C"
"113",0,3,1,22,"S"
"114",0,3,0,20,"S"
"115",0,3,0,17,"C"
"116",0,3,1,21,"S"
"117",0,3,1,70,"Q"
"118",0,2,1,29,"S"
"119",0,1,1,24,"C"
"120",0,3,0,2,"S"
"121",0,2,1,21,"S"
"122",0,3,1,26,"S"
"123",0,2,1,32,"C"
"124",1,2,0,32,"S"
"125",0,1,1,54,"S"
"126",1,3,1,12,"C"
"127",0,3,1,26,"Q"
"128",1,3,1,24,"S"
"129",1,3,0,15,"C"
"130",0,3,1,45,"S"
"131",0,3,1,33,"C"
"132",0,3,1,20,"S"
"133",0,3,0,47,"S"
"134",1,2,0,29,"S"
"135",0,2,1,25,"S"
"136",0,2,1,23,"C"
"137",1,1,0,19,"S"
"138",0,1,1,37,"S"
"139",0,3,1,16,"S"
"140",0,1,1,24,"C"
"141",0,3,0,26,"C"
"142",1,3,0,22,"S"
"143",1,3,0,24,"S"
"144",0,3,1,19,"Q"
"145",0,2,1,18,"S"
"146",0,2,1,19,"S"
"147",1,3,1,27,"S"
"148",0,3,0,9,"S"
"149",0,2,1,36,"S"
"150",0,2,1,42,"S"
"151",0,2,1,51,"S"
"152",1,1,0,22,"S"
"153",0,3,1,55,"S"
"154",0,3,1,40,"S"
"155",0,3,1,26,"S"
"156",0,1,1,51,"C"
"157",1,3,0,16,"Q"
"158",0,3,1,30,"S"
"159",0,3,1,26,"S"
"160",0,3,1,15,"S"
"161",0,3,1,44,"S"
"162",1,2,0,40,"S"
"163",0,3,1,26,"S"
"164",0,3,1,17,"S"
"165",0,3,1,1,"S"
"166",1,3,1,9,"S"
"167",1,1,0,26,"S"
"168",0,3,0,45,"S"
"169",0,1,1,26,"S"
"170",0,3,1,28,"S"
"171",0,1,1,61,"S"
"172",0,3,1,4,"Q"
"173",1,3,0,1,"S"
"174",0,3,1,21,"S"
"175",0,1,1,56,"C"
"176",0,3,1,18,"S"
"177",0,3,1,15,"S"
"178",0,1,0,50,"C"
"179",0,2,1,30,"S"
"180",0,3,1,36,"S"
"181",0,3,0,15,"S"
"182",0,2,1,26,"C"
"183",0,3,1,9,"S"
"184",1,2,1,1,"S"
"185",1,3,0,4,"S"
"186",0,1,1,26,"S"
"187",1,3,0,26,"Q"
"188",1,1,1,45,"S"
"189",0,3,1,40,"Q"
"190",0,3,1,36,"S"
"191",1,2,0,32,"S"
"192",0,2,1,19,"S"
"193",1,3,0,19,"S"
"194",1,2,1,3,"S"
"195",1,1,0,44,"C"
"196",1,1,0,58,"C"
"197",0,3,1,26,"Q"
"198",0,3,1,42,"S"
"199",1,3,0,15,"Q"
"200",0,2,0,24,"S"
"201",0,3,1,28,"S"
"202",0,3,1,26,"S"
"203",0,3,1,34,"S"
"204",0,3,1,45,"C"
"205",1,3,1,18,"S"
"206",0,3,0,2,"S"
"207",0,3,1,32,"S"
"208",1,3,1,26,"C"
